Package,type,dependency
Andromeda,Depends,dplyr
Andromeda,Imports,RSQLite
Andromeda,Imports,DBI
Andromeda,Imports,zip
Andromeda,Imports,methods
Andromeda,Imports,dbplyr
Andromeda,Imports,tidyselect
Andromeda,Imports,cli
Andromeda,Imports,rlang
Andromeda,Imports,pillar
Andromeda,Imports,hms
Andromeda,Suggests,testthat
Andromeda,Suggests,stringr
Andromeda,Suggests,knitr
Andromeda,Suggests,rmarkdown
Andromeda,Suggests,tibble
Andromeda,Suggests,rJava
Andromeda,Suggests,rcmdcheck
Andromeda,Version,0.6.1
Andromeda,LinkingTo,NA
Andromeda,MD5sum,8d81ce8089a93ed6acbf18769c6c1e6e
DatabaseConnector,Depends,R (>= 2.10)
DatabaseConnector,Imports,rJava
DatabaseConnector,Imports,SqlRender (>= 1.8.3)
DatabaseConnector,Imports,methods
DatabaseConnector,Imports,stringr
DatabaseConnector,Imports,readr
DatabaseConnector,Imports,rlang
DatabaseConnector,Imports,utils
DatabaseConnector,Imports,DBI (>= 1.0.0)
DatabaseConnector,Imports,urltools
DatabaseConnector,Imports,bit64
DatabaseConnector,Suggests,aws.s3
DatabaseConnector,Suggests,R.utils
DatabaseConnector,Suggests,withr
DatabaseConnector,Suggests,testthat
DatabaseConnector,Suggests,DBItest
DatabaseConnector,Suggests,knitr
DatabaseConnector,Suggests,rmarkdown
DatabaseConnector,Suggests,RSQLite
DatabaseConnector,Suggests,ssh
DatabaseConnector,Suggests,Andromeda (>= 0.6.0)
DatabaseConnector,Suggests,dplyr
DatabaseConnector,Version,5.0.4
DatabaseConnector,LinkingTo,NA
DatabaseConnector,MD5sum,5ce544de027606b2167777f68f12edc5
EmpiricalCalibration,Depends,R (>= 3.5.0)
EmpiricalCalibration,Imports,ggplot2 (>= 2.0.0)
EmpiricalCalibration,Imports,gridExtra
EmpiricalCalibration,Imports,methods
EmpiricalCalibration,Imports,rlang
EmpiricalCalibration,Imports,Rcpp
EmpiricalCalibration,Suggests,knitr
EmpiricalCalibration,Suggests,markdown
EmpiricalCalibration,Suggests,rmarkdown
EmpiricalCalibration,Suggests,testthat
EmpiricalCalibration,Suggests,Cyclops
EmpiricalCalibration,Suggests,survival
EmpiricalCalibration,Suggests,Sequential
EmpiricalCalibration,Version,3.1.0
EmpiricalCalibration,LinkingTo,Rcpp
EmpiricalCalibration,MD5sum,b0debb39b0a87962e46bff4204f159fa
ParallelLogger,Depends,R (>= 4.0.0)
ParallelLogger,Imports,snow
ParallelLogger,Imports,xml2
ParallelLogger,Imports,jsonlite
ParallelLogger,Imports,methods
ParallelLogger,Imports,utils
ParallelLogger,Suggests,mailR
ParallelLogger,Suggests,testthat
ParallelLogger,Suggests,shiny
ParallelLogger,Suggests,DT
ParallelLogger,Suggests,knitr
ParallelLogger,Suggests,rmarkdown
ParallelLogger,Suggests,tibble
ParallelLogger,Version,3.0.1
ParallelLogger,LinkingTo,NA
ParallelLogger,MD5sum,2de889a461495536cd386e9d55f8fdb0
SqlRender,Depends,NA
SqlRender,Imports,rJava
SqlRender,Imports,rlang
SqlRender,Imports,checkmate
SqlRender,Suggests,testthat
SqlRender,Suggests,knitr
SqlRender,Suggests,rmarkdown
SqlRender,Suggests,shiny
SqlRender,Suggests,shinydashboard
SqlRender,Version,1.9.2
SqlRender,LinkingTo,NA
SqlRender,MD5sum,15d955eca60178029b31499ccc733fc0
